Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
199	199	009A	5C6C	0A37	0007	0124	0554	
200	200	009B	5C94	7F2B	0008	026B	062E	
201	201	009C	60A0	6601	0009	02AE	0790	
202	202	009D	680E	6F97	000A	0119	07F2	
203	203	009E	722C	5CA3	000B	00F6	0A0D	
204	204	009F	7DB2	5D71	000C	010D	155D	
205	205	00A0	095C	5204	000D	0190	4064	
206	206	00A1	13FE	69E2	000E	FFBF	CD42	
207	207	00A2	1C9C	642A	000F	FFE5	F036	
208	208	00A3	2222	7F9C	0010	FFB6	F4AF	
209	209	00A4	23FE	7B2A	0011	FFAB	F61D	
210	210	00A5	2206	058A	0012	FEDB	FB4F	
211	211	00A6	1C52	1DA0	0013	FE5B	FBB5	
212	212	00A7	1372	1276	0014	FF68	FBAE	
213	213	00A8	089A	238E	0015	FD50	FD30	
214	214	00A9	7CEE	20D4	0016	00A7	FE6E	
215	215	00AA	7188	2A8C	0017	FF9C	FC83	
216	216	00AB	6788	117C	0018	025B	FE88	
217	217	00AC	6026	1689	0019	FDBF	014B	
218	218	00AD	5C42	0ABF	001A	FDA3	0324	
219	219	00AE	5C4E	7F91	001B	0373	F9B4	
220	220	00AF	6052	6637	001C	FD67	FF1B	
221	221	00B0	67B2	6FA1	001D	013B	FDFD	
222	222	00B1	71A0	5C91	001E	0062	FE25	
223	223	00B2	7D02	5D5F	001F	FF6E	FE83	
224	224	00B3	08B6	51D4	0020	FDC1	FE7D	
225	225	00B4	1374	6996	0021	02BF	FDCF	
226	226	00B5	1C3E	63A0	0022	FFBA	FE5A	
227	227	00B6	21F6	7F0A	0023	0125	010B	
228	228	00B7	2404	3A96	0024	004F	FF11	
229	229	00B8	2236	0502	0025	014B	FD44	
230	230	00B9	1CAC	1D36	0026	FFFE	FF80	
231	231	00BA	1408	1242	0027	FBAE	00DC	
232	232	00BB	0942	2398	0028	F997	FDB9	
233	233	00BC	7D88	211A	0029	02BA	FFF7	
234	234	00BD	71F8	2AF4	002A	0496	0023	
235	235	00BE	67EA	11E8	002B	020B	FF80	
236	236	00BF	607C	16FD	002C	009D	FDFA	
237	237	00C0	5C72	0B4B	002D	0027	FE09	
238	238	00C1	5C4A	701F	002E	0039	FF52	
239	239	00C2	6002	769B	002F	FFF2	FF84	
240	240	00C3	6722	6FC5	0030	FCB9	FECE	
241	241	00C4	70DE	5C8B	0031	0111	FFB5	
242	242	00C5	7C56	5D27	0032	0191	FFCC	
243	243	00C6	0836	5174	0033	FFF1	FFA4	
244	244	00C7	133E	68F2	0034	FD1D	FFA7	
245	245	00C8	1C32	62FC	0035	FEE2	FE04	
246	246	00C9	2200	7E80	0036	FB27	FA46	
247	247	00CA	2414	7A38	0037	02F9	00E1	
248	248	00CB	2256	04C8	0038	0431	02C0	
249	249	00CC	1CE4	1CFC	0039	FECD	0172	
250	250	00CD	1466	1208	003A	00C1	FF35	
251	251	00CE	09B4	236A	003B	0036	0089	
252	252	00CF	7DEA	2114	003C	0304	0022	
253	253	00D0	7246	2B38	003D	FF79	00A3	
254	254	00D1	6814	126E	003E	02B1	0059	
255	255	00D2	60A4	17B7	003F	02F2	020B	
256	256	00D3	5CA8	4C05	0040	034E	0172	
257	257	00D4	5C62	70C3	0041	008D	00B5	
258	258	00D5	5FCC	771D	0042	02D8	0330	
259	259	00D6	669C	601D	0043	0852	167D	
260	260	00D7	703A	6CA5	0044	FF2A	F956	
261	261	00D8	7BC2	5D19	0045	00C1	0002	
262	262	00D9	07C2	5146	0046	FF3C	FD73	
263	263	00DA	12E4	689C	0047	0082	FCF3	
264	264	00DB	1BCA	6288	0048	FFF0	FE53	
265	265	00DC	21AC	7DF8	0049	00B7	FE60	
266	266	00DD	23FC	39BC	004A	FF28	FE9F	
267	267	00DE	2284	044C	004B	FDBD	FEE7	
268	268	00DF	1D58	1CA6	004C	0002	009D	
269	269	00E0	1504	11DA	004D	FF78	FEAD	
270	270	00E1	0A4A	2382	004E	01E5	FFBF	
271	271	00E2	7E78	2156	004F	FF4C	00F1	
272	272	00E3	72E4	2B9A	0050	FF4D	04B8	
